Frame,Index,Lane,Abs,Phase,I,Q
6002,152,2,6242,523985730,-2443,-5420
6002,152,3,6243,524844723,-188,-4049
6002,153,0,6244,525703716,2803,5087
6002,153,1,6245,526562709,-3611,2113
6002,153,2,6246,527421702,1848,4948
6002,153,3,6247,528280695,4991,4581
6002,154,0,6248,529139688,3743,-547
6002,154,1,6249,529998681,4990,207
6002,154,2,6250,530857674,740,-4287
6002,154,3,6251,531716667,2739,624
6002,155,0,6252,532575660,-1837,-1186
6002,155,1,6253,533434653,-2753,-8637
6002,155,2,6254,534293646,7087,4611
6002,155,3,6255,535152639,-1032,5085
6002,156,0,6256,536011632,2468,-232
6002,156,1,6257,536870625,8382,1123
6002,156,2,6258,537729618,-4298,-2165
6002,156,3,6259,538588611,4186,6844
6002,157,0,6260,539447604,8509,4763
6002,157,1,6261,540306597,-3181,-1513
6002,157,2,6262,541165590,-4075,5226
6002,157,3,6263,542024583,-2391,-4473
6002,158,0,6264,542883576,4564,-6306
6002,158,1,6265,543742569,3232,3703
6002,158,2,6266,544601562,-1268,-2940
6002,158,3,6267,545460555,6052,-5439
6002,159,0,6268,546319548,8,3183
6002,159,1,6269,547178541,-6204,4029
6002,159,2,6270,548037534,-2552,-3438
6002,159,3,6271,548896527,-2979,-2935
6002,160,0,6272,549755520,-268,-2735
6002,160,1,6273,550614513,1078,-5805
6002,160,2,6274,551473506,2309,3911
6002,160,3,6275,552332499,3913,3070
6002,161,0,6276,553191492,-95,707
6002,161,1,6277,554050485,-3520,8588
6002,161,2,6278,554909478,-5672,-2371
6002,161,3,6279,555768471,-2343,-1449
6002,162,0,6280,556627464,2133,10278
6002,162,1,6281,557486457,1842,2871
6002,162,2,6282,558345450,518,2426
6002,162,3,6283,559204443,-2731,1014
6002,163,0,6284,560063436,-707,-869
6002,163,1,6285,560922429,487,4412
6002,163,2,6286,561781422,-2852,-3754
6002,163,3,6287,562640415,-2169,-2900
6002,164,0,6288,563499408,-5575,2483
6002,164,1,6289,564358401,-5741,-7338
6002,164,2,6290,565217394,-445,-9316
6002,164,3,6291,566076387,88,-4954
6002,165,0,6292,566935380,2254,-1177
6002,165,1,6293,567794373,2209,-380
6002,165,2,6294,568653366,1341,-3512
6002,165,3,6295,569512359,1867,854
6002,166,0,6296,570371352,-1234,-1466
6002,166,1,6297,571230345,124,-6463
6002,166,2,6298,572089338,4086,-85
6002,166,3,6299,572948331,7972,-3987
6002,167,0,6300,573807324,6999,-8495
6002,167,1,6301,574666317,278,-970
6002,167,2,6302,575525310,2846,-3184
6002,167,3,6303,576384303,1703,-2867
6002,168,0,6304,577243296,-5894,6129
6002,168,1,6305,578102289,-1163,615
